x,y,z,u,v,w,p,k,nut,omega,bm
0,0,0,,,,,,,,1
1,0,0,,,,,,,,1
2,0,0,-0.788581,0.013357,-0.231202,76.5936,0.257014,0.0196863,5.09257,0
3,0,0,1.82328,-0.178341,-0.743934,81.5859,0.297496,0.0173443,3.85063,0
4,0,0,1.32316,-0.0776105,-0.453099,84.7935,0.300701,0.0151476,4.90211,0
5,0,0,,,,,,,,1
6,0,0,,,,,,,,1
7,0,0,-0.550747,-0.908843,0.257267,4.98935,0.355891,0.0155065,8.26971,0
8,0,0,-0.575148,-0.63752,-0.00595325,7.61646,0.269036,0.0278474,3.00662,0
9,0,0,-1.23163,-0.714787,0.0856331,9.341,0.449653,0.0086001,25.7822,0
10,0,0,-0.34181,-1.05431,0.0378863,11.8055,0.382505,0.0142312,20.0008,0
11,0,0,0.298374,-1.12455,-0.0257942,14.2088,0.339344,0.0190018,17.8585,0
12,0,0,2.18474,-1.0778,-0.0791412,18.792,0.276394,0.00810722,20.1243,0
13,0,0,1.9859,-0.865695,-0.0660147,20.776,0.27986,0.0107386,26.0611,0
14,0,0,2.97245,-0.948348,-0.0498218,22.7644,0.258499,0.0336528,3.37345,0
15,0,0,5.73465,-1.03799,0.125692,23.5259,0.261502,0.008817,5.7597,0
16,0,0,14.4812,-0.509499,0.0341979,-5.54299,0.245389,0.00780432,4.84204,0
17,0,0,13.8,-0.513571,0.159496,-44.0195,0.243737,0.0125937,1.87993,0
18,0,0,13.5861,-0.364805,0.15294,-58.2647,0.23985,0.0240281,9.98206,0
19,0,0,12.6794,-0.599354,0.488335,-51.5713,0.240778,0.0224557,1.92494,0
20,0,0,11.5962,-0.188699,0.325737,-26.3935,0.241417,0.0186237,2.54894,0
21,0,0,8.05983,0.0705148,0.10489,-3.94233,0.253403,0.0268094,4.66763,0
22,0,0,7.34315,0.0206201,-0.0373635,-1.82196,0.23991,0.0603256,2.33039,0
23,0,0,6.23035,0.247671,-0.350566,-0.0796225,0.251918,0.0206069,2.4619,0
0,1,0,,,,,,,,1
1,1,0,,,,,,,,1
2,1,0,-0.761152,3.29721,-0.345378,76.1975,0.272551,0.0120741,3.62572,0
3,1,0,0.536065,1.53732,-0.878701,81.8088,0.285591,0.0158237,3.41817,0
4,1,0,-0.397129,1.13383,-1.07933,84.5055,0.253438,0.0173971,5.13342,0
5,1,0,,,,,,,,1
6,1,0,,,,,,,,1
7,1,0,-1.1402,3.32451,2.04238,2.69171,0.308147,0.00952008,4.49846,0
8,1,0,-0.816721,-1.12782,0.481092,5.33762,0.323962,0.016653,4.10922,0
9,1,0,0.630166,-0.123159,0.117586,7.11994,0.328334,0.00338927,25.802,0
10,1,0,1.77575,-0.802607,0.0809888,9.83247,0.285391,0.00447601,19.8299,0
11,1,0,2.18147,-0.846277,0.0114401,12.4073,0.267914,0.00535658,17.6692,0
12,1,0,2.51904,-0.771601,-0.0351465,14.8133,0.259474,0.00653903,17.6903,0
13,1,0,2.25755,-0.876943,-0.0985555,19.4938,0.267898,0.00619885,25.8707,0
14,1,0,2.63505,-1.76703,-0.0934715,21.9714,0.256681,0.0298757,3.11804,0
