x,y,z,u,v,w,p,k,nut,omega,bm
0,0,0,10.0269,0.121853,-0.0191423,3.48099,0.279921,0.00434489,64.4252,0
1,0,0,10.1448,0.0827489,-0.0249135,3.36276,0.286026,0.0044397,64.4246,0
2,0,0,0.805481,-0.00169982,-1.10092,-0.319585,0.277961,0.00258772,13.4924,0
3,0,0,6.15876,0.0732799,-0.620997,11.0824,0.261621,0.0139334,2.55939,0
4,0,0,7.05761,0.144409,-0.621657,13.5769,0.249353,0.111345,2.23946,0
5,0,0,5.39431,0.0859472,0.23412,19.7898,0.271883,0.015748,4.47667,0
6,0,0,3.13162,0.206296,-0.397663,27.5146,0.253022,0.0136637,7.1297,0
7,0,0,,,,,,,,1
8,0,0,,,,,,,,1
9,0,0,,,,,,,,1
10,0,0,,,,,,,,1
11,0,0,,,,,,,,1
12,0,0,-0.585156,-0.223655,0.399247,-26.6506,0.293337,0.00734163,6.38876,0
13,0,0,1.5797,-0.179538,-1.00389,-17.4019,0.258172,0.0202771,2.95574,0
14,0,0,5.80267,-0.0560332,-0.76579,-10.5957,0.268937,0.0139703,2.88762,0
15,0,0,7.14291,-0.364581,-0.160459,-4.8814,0.261259,0.0180172,3.55383,0
16,0,0,8.61527,0.193969,-0.332815,-3.9573,0.247643,0.0472264,1.99964,0
17,0,0,8.63315,0.267322,-0.236408,-4.43967,0.24744,0.0501858,2.23091,0
18,0,0,8.77895,0.165335,-0.197531,-5.83577,0.2417,0.0812539,2.20809,0
19,0,0,8.98627,0.136239,-0.161726,-6.3877,0.242665,0.0521928,1.99796,0
20,0,0,8.75544,0.429727,-0.260588,-5.87257,0.244901,0.0255283,1.98895,0
21,0,0,8.28872,0.105686,-0.26042,-3.9436,0.242816,0.0519736,1.94406,0
22,0,0,8.05844,0.0432599,-0.0624432,-1.81816,0.21646,0.00832641,25.9968,0
23,0,0,8.33252,0.0508937,-0.0970928,-1.05072,0.21698,0.0108673,19.9662,0
0,1,0,9.93147,0.141297,0.0305829,3.3328,0.289051,0.00372156,77.6693,0
1,1,0,10.0918,0.103778,0.0112241,3.25823,0.29635,0.00381642,77.6513,0
2,1,0,-1.27,-1.90627,1.08188,2.82484,0.312199,0.00381984,6.90612,0
3,1,0,2.71167,0.578928,-0.386658,8.46498,0.26485,0.0117419,3.47077,0
4,1,0,3.83005,-0.228369,-0.265399,14.7296,0.284886,0.0146305,3.25017,0
5,1,0,3.69358,-1.02518,0.457983,21.538,0.279048,0.0119895,4.21057,0
6,1,0,1.98811,-0.219811,-0.425354,28.2414,0.249538,0.0158479,5.37984,0
7,1,0,,,,,,,,1
8,1,0,,,,,,,,1
9,1,0,,,,,,,,1
10,1,0,,,,,,,,1
11,1,0,,,,,,,,1
12,1,0,-1.1723,-0.576698,0.295052,-25.3927,0.29092,0.00771095,6.32165,0
13,1,0,1.17596,-0.397266,-0.726395,-16.2638,0.268107,0.0146536,3.18748,0
14,1,0,5.13605,-0.254035,-0.539126,-10.219,0.271149,0.0147839,2.90354,0
15,1,0,5.34788,-1.02745,-0.629156,-1.42914,0.260572,0.0118271,3.35686,0
16,1,0,8.44889,0.678736,-0.160643,-5.17,0.2457,0.0269986,3.91173,0
17,1,0,8.47272,0.339029,0.0979066,-6.26025,0.25437,0.0149971,6.02072,0
18,1,0,9.07918,0.39275,0.125358,-7.41354,0.248932,0.0408139,5.97436,0
19,1,0,9.64962,0.293277,0.0125018,-7.43877,0.241252,0.045462,3.58684,0
20,1,0,2.62396,4.52986,0.429936,-12.4062,0.247173,0.00313016,13.8068,0
21,1,0,7.27641,1.19116,-0.593254,-3.97592,0.258632,0.0153834,2.40682,0
22,1,0,7.47712,0.52672,-0.246781,-1.28489,0.219454,0.00723866,25.9481,0
23,1,0,7.86168,0.425555,-0.250288,-0.583053,0.218018,0.0110251,19.7747,0
0,2,0,,,,,,,,1
1,2,0,,,,,,,,1
2,2,0,-2.4976,0.334738,0.738737,4.96662,0.334637,0.00806705,7.81702,0
3,2,0,-0.434493,-1.17598,-0.17903,8.91585,0.324079,0.00862129,5.00856,0
4,2,0,4.27609,-2.09313,-0.23157,14.2118,0.270965,0.0176802,2.70862,0
5,2,0,3.78522,-2.52429,-0.499542,23.0543,0.249374,0.00715483,5.63986,0
6,2,0,2.04374,0.673883,1.02974,27.2505,0.28399,0.00483686,5.60971,0
7,2,0,,,,,,,,1
8,2,0,,,,,,,,1
9,2,0,,,,,,,,1
10,2,0,,,,,,,,1
11,2,0,,,,,,,,1
12,2,0,-2.24593,-2.77832,0.926887,-21.0699,0.275086,0.00696955,5.25448,0
13,2,0,2.94504,0.0613254,-0.593293,-11.4927,0.289991,0.0122832,3.56661,0
14,2,0,1.53814,0.658488,-0.453178,-7.08212,0.368916,0.019242,5.0239,0
15,2,0,1.81186,-0.21561,-0.42397,2.78188,0.253922,0.0211835,4.62053,0
16,2,0,,,,,,,,1
17,2,0,,,,,,,,1
18,2,0,,,,,,,,1
19,2,0,0.139341,2.06841,2.30331,-12.2471,0.351821,0.00125704,77.4643,0
20,2,0,-2.02235,2.86383,0.438875,-12.7988,0.341207,0.00370821,10.1769,0
