x,y,z,u,v,w,p,k,nut,omega,bm
0,0,0,9.9987,0.000103038,3.94572e-05,12.5536,0.227003,0.0141897,15.9977,0
1,0,0,10.0061,-0.00629219,0.000607833,12.5465,0.221506,0.0138461,15.9977,0
2,0,0,10.016,-0.00693084,0.000691571,12.529,0.219242,0.0137046,15.9977,0
3,0,0,10.0275,-0.00770414,0.000802328,12.4992,0.218314,0.0136466,15.9977,0
4,0,0,10.0397,-0.0086335,0.00100061,12.4562,0.217944,0.0136234,15.9977,0
5,0,0,10.0528,-0.00979181,0.00127029,12.3994,0.217806,0.0136148,15.9977,0
6,0,0,10.0672,-0.0110826,0.00155762,12.3282,0.217764,0.0136122,15.9977,0
7,0,0,10.0831,-0.0126897,0.00193293,12.2412,0.217766,0.0136123,15.9977,0
8,0,0,10.1006,-0.0146308,0.00239543,12.1374,0.217788,0.0136137,15.9977,0
9,0,0,10.1198,-0.0168195,0.00296142,12.0155,0.217822,0.0136158,15.9977,0
10,0,0,10.141,-0.0195219,0.0037629,11.8745,0.217857,0.013618,15.9977,0
11,0,0,10.1641,-0.022835,0.00470053,11.7124,0.21815,0.0136362,15.9979,0
12,0,0,10.1898,-0.0274027,0.00612298,11.5288,0.218101,0.013632,15.9992,0
13,0,0,10.2587,-0.0438164,0.0108262,11.0749,0.218144,0.0135849,16.0579,0
14,0,0,10.3105,-0.0601413,0.0137726,10.7802,0.218136,0.0134205,16.254,0
15,0,0,10.4105,-0.0930013,0.0177684,10.4093,0.217675,0.0129279,16.8376,0
16,0,0,10.5645,-0.145388,0.0252231,9.90681,0.21686,0.0119138,18.2024,0
17,0,0,10.811,-0.223407,0.0333695,9.16467,0.215544,0.0103609,20.8036,0
18,0,0,11.2063,-0.29642,0.0365743,8.01553,0.21374,0.00855507,24.984,0
19,0,0,11.5917,-0.197552,0.0208714,6.2293,0.211664,0.00741089,28.5612,0
20,0,0,11.7351,2.34318e-05,0.0155946,4.27929,0.210459,0.00718409,29.2952,0
21,0,0,11.6434,0.151942,0.0086199,2.53376,0.209657,0.00715981,29.2824,0
22,0,0,11.3802,0.212549,-0.00122487,1.16688,0.210193,0.00737006,28.5199,0
