x,y,z,u,v,w,p,k,nut,omega,bm
0,0,0,9.99359,-0.00835395,0.00339528,3.98861,0.225466,0.0122371,18.4247,0
1,0,0,10.0952,-0.090517,0.0136567,3.91664,0.219392,0.0114094,19.2292,0
2,0,0,10.1849,-0.0533235,0.0129872,3.69007,0.216409,0.0107569,20.1181,0
3,0,0,10.2143,-0.0274136,0.0114107,3.42362,0.214916,0.0104795,20.5083,0
4,0,0,10.2084,-0.00793713,0.00966864,3.18528,0.214186,0.0103945,20.6057,0
5,0,0,10.1749,0.00770529,0.00786808,3.01515,0.214029,0.0104412,20.4985,0
6,0,0,10.1326,0.020301,0.00616471,2.94673,0.214487,0.0106757,20.091,0
7,0,0,10.058,0.0389512,0.00360537,2.99052,0.215733,0.0112765,19.1311,0
8,0,0,9.95795,0.0478568,0.00280092,3.16927,0.216118,0.011897,18.1657,0
9,0,0,9.82219,0.0480325,0.00394538,3.46991,0.215302,0.0118618,18.1508,0
10,0,0,9.69289,0.0427338,0.00174911,3.86746,0.214143,0.0107313,19.9551,0
11,0,0,9.6024,0.0199484,0.0159199,4.97985,0.235969,0.0691903,3.41043,0
12,0,0,9.10144,0.0345264,0.0785363,6.66275,0.238499,0.0362658,4.80743,0
13,0,0,9.64855,-0.0736256,0.096204,6.37799,0.240206,0.0280715,8.55694,0
14,0,0,8.98285,0.0227296,-0.0450913,7.53464,0.240441,0.0524604,4.58329,0
15,0,0,8.79903,0.0701123,-0.00230538,9.10948,0.239573,0.0130112,18.4129,0
16,0,0,6.36575,-0.3041,-0.151189,12.429,0.23824,0.0187112,8.32901,0
17,0,0,5.91921,-0.207146,0.496013,17.842,0.253922,0.0211916,3.36612,0
18,0,0,8.49247,-0.789088,0.070598,20.2143,0.255121,0.00354067,3.95143,0
19,0,0,16.836,0.433682,0.270875,-32.4109,0.242588,0.0253571,2.80324,0
20,0,0,14.9822,-0.441382,0.110943,-56.681,0.247563,0.0065364,3.67787,0
21,0,0,15.1996,0.569482,0.179136,-51.9476,0.245595,0.005021,2.36718,0
22,0,0,6.50033,-0.232254,0.0319691,-14.9723,0.249352,0.0134244,3.0773,0
23,0,0,7.12754,0.485182,-0.338371,-3.74527,0.222213,0.00360795,26.4758,0
0,1,0,10.013,-0.0723861,0.00228138,4.25397,0.223512,0.010668,20.9516,0
1,1,0,10.1745,-0.383887,0.0106664,4.13515,0.216459,0.00929286,23.293,0
2,1,0,10.3105,-0.21704,0.0125301,3.78441,0.212184,0.00829401,25.5828,0
3,1,0,10.3222,-0.0669893,0.0131462,3.42567,0.209975,0.0080992,25.9254,0
4,1,0,10.2883,0.0245742,0.0119847,3.13037,0.208964,0.00803613,26.0031,0
5,1,0,10.2329,0.0876098,0.0105895,2.9296,0.208495,0.00804454,25.9175,0
6,1,0,10.1632,0.114297,0.00804201,2.83112,0.209096,0.00818296,25.5526,0
7,1,0,10.0645,0.158611,0.00631029,2.84641,0.213005,0.00925824,23.007,0
8,1,0,9.91685,0.190742,0.00333337,3.04533,0.214652,0.0107063,20.0491,0
9,1,0,9.7719,0.158039,0.00254423,3.38322,0.214486,0.0114229,18.7768,0
10,1,0,9.64641,0.124813,0.000370175,3.80068,0.214041,0.0110074,19.4452,0
11,1,0,9.53721,0.112647,-0.00425298,4.308,0.212333,0.00915133,23.2024,0
12,1,0,9.28214,0.298389,0.0622334,5.8604,0.239346,0.0634435,3.53076,0
13,1,0,8.99964,1.33767,0.297769,7.78943,0.239553,0.0187311,5.98576,0
14,1,0,9.20807,0.289124,-0.11751,7.54247,0.240179,0.0332758,2.81947,0
15,1,0,6.99535,-0.548536,-0.531854,8.396,0.238759,0.00563292,18.2733,0
16,1,0,7.38604,-0.704438,-0.190416,11.7703,0.245176,0.0156451,5.40152,0
17,1,0,5.10297,-0.694428,0.472368,18.3098,0.261555,0.014391,3.86184,0
18,1,0,1.99239,-1.14996,-0.30983,26.3527,0.256834,0.0099705,4.8662,0
19,1,0,,,,,,,,1
20,1,0,,,,,,,,1
21,1,0,-0.652017,1.13113,0.043872,-12.2481,0.250952,0.0283078,2.78166,0
22,1,0,6.29042,1.45607,-0.615791,-8.84247,0.266391,0.00879818,3.20536,0
23,1,0,3.42714,0.404234,-1.04702,-2.14712,0.25496,0.003175,26.0685,0
0,2,0,10.0253,-0.219459,0.00476204,5.06989,0.220511,0.0085086,25.9163,0
1,2,0,10.2938,-1.02113,0.0227966,4.79306,0.212476,0.00678994,31.2928,0
2,2,0,10.2892,-0.299957,0.0449501,4.22417,0.239263,0.101592,2.30927,0
3,2,0,10.3314,-0.129297,0.0185341,3.53441,0.239046,0.112226,2.13004,0
4,2,0,10.3138,-0.0063167,0.00846182,3.05289,0.2386,0.109457,2.17985,0
5,2,0,10.2852,0.0696641,0.00212828,2.7541,0.238391,0.106694,2.23435,0
6,2,0,10.2648,0.132443,0.00372429,2.59893,0.238097,0.105582,2.25509,0
7,2,0,10.097,0.494974,0.00206004,2.49998,0.212756,0.00688758,30.8899,0
8,2,0,9.90794,0.389034,-0.000170996,2.76482,0.213995,0.00889835,24.0488,0
9,2,0,9.73615,0.25405,-0.000822599,3.22712,0.214764,0.0105666,20.3249,0
10,2,0,9.61872,0.184317,-0.00261436,3.71053,0.214163,0.0111964,19.1278,0
11,2,0,9.53156,0.158613,-0.00372587,4.2382,0.213756,0.0105249,20.3095,0
12,2,0,9.40168,0.172712,-0.00338324,4.86901,0.211554,0.00881245,24.0062,0
13,2,0,9.2651,0.259704,0.0437902,6.56114,0.23774,0.0837215,2.83965,0
14,2,0,8.88244,0.154008,0.107526,8.10868,0.240892,0.0655302,2.48018,0
15,2,0,8.73391,0.156984,0.0569535,9.30516,0.241535,0.0331512,2.53992,0
16,2,0,6.8499,-0.272095,0.463511,13.8703,0.252636,0.0212412,2.22281,0
17,2,0,3.61671,0.0164886,0.414826,19.3107,0.250041,0.0192844,4.75246,0
18,2,0,-0.148157,-0.0105249,-0.74974,26.2885,0.239771,0.0094504,23.0656,0
19,2,0,,,,,,,,1
20,2,0,,,,,,,,1
21,2,0,-1.41011,-0.621584,0.159231,-10.5728,0.295779,0.0104956,4.81877,0
22,2,0,2.09311,0.767218,-1.56717,-6.92304,0.284531,0.0112304,3.46869,0
23,2,0,2.25198,-0.562805,-1.96088,-0.814184,0.276753,0.00299706,25.7079,0
0,3,0,10.0534,-0.257125,0.0123349,8.46561,0.217366,0.00666053,32.635,0
1,3,0,10.6018,-1.2623,0.133821,6.75255,0.242281,0.0377858,2.94406,0
2,3,0,10.9021,-0.891207,0.113312,4.96468,0.242869,0.0446526,2.41834,0
3,3,0,10.7072,0.00395507,0.0352143,3.21274,0.244338,0.0506614,1.92868,0
4,3,0,10.4903,0.152217,0.0196974,2.37941,0.241972,0.0795422,2.03674,0
5,3,0,10.4077,0.186952,0.00847897,1.97223,0.239166,0.112796,2.12035,0
6,3,0,10.41,0.2689,0.0149407,1.72785,0.23907,0.100948,2.36825,0
7,3,0,10.4983,0.738794,-0.0484779,1.57585,0.241592,0.0364123,2.04175,0
8,3,0,9.57118,0.794835,-0.00716455,2.29312,0.215215,0.0068007,31.6461,0
9,3,0,9.63638,0.311224,-0.0121586,3.10769,0.215839,0.00933427,23.1233,0
10,3,0,9.59916,0.193566,-0.0110056,3.70429,0.215515,0.0111466,19.3346,0
11,3,0,9.53286,0.160604,-0.0116421,4.26365,0.215197,0.0115317,18.6613,0
12,3,0,9.3983,0.173286,-0.0083878,4.89098,0.214157,0.0107562,19.9101,0
13,3,0,9.24187,0.131834,0.0341232,6.54483,0.236761,0.0857896,2.75978,0
14,3,0,8.83535,0.138534,0.0840882,8.1206,0.240573,0.0691001,2.50631,0
15,3,0,8.4832,0.455426,0.173677,8.97125,0.24263,0.0505103,2.2572,0
16,3,0,7.63658,0.725117,0.25982,11.7639,0.247998,0.0261327,2.11902,0
17,3,0,3.41183,0.432175,0.349802,19.309,0.256173,0.0163296,5.2085,0
18,3,0,-0.0919891,0.0288678,-0.971095,26.1588,0.222093,0.010253,21.6612,0
19,3,0,,,,,,,,1
20,3,0,,,,,,,,1
21,3,0,-3.76419,-1.77592,3.30796,-13.747,0.318278,0.00602462,6.85387,0
