x,y,z,u,v,w,p,k,nut,omega,bm
0,0,0,10.0138,-0.00480443,5.002e-05,-4.57448,0.225928,0.0127487,17.7217,0
1,0,0,9.97471,0.025914,-0.0014754,-4.5404,0.220239,0.0126022,17.4762,0
2,0,0,9.92483,0.0311656,-0.00212339,-4.46384,0.217919,0.0126254,17.2603,0
3,0,0,9.86318,0.0361639,-0.00208053,-4.34044,0.217108,0.0128009,16.9604,0
4,0,0,9.79516,0.0407824,-0.00288597,-4.17116,0.216846,0.0130312,16.6405,0
5,0,0,9.72416,0.0430222,-0.00390626,-3.95532,0.216772,0.0132122,16.4069,0
6,0,0,9.65512,0.0431957,-0.00479706,-3.70027,0.216831,0.0133573,16.2331,0
7,0,0,9.59103,0.0423681,-0.00542915,-3.41611,0.216953,0.0134723,16.1036,0
8,0,0,9.52947,0.0398478,-0.00502869,-3.11461,0.21701,0.0135331,16.0355,0
9,0,0,9.47328,0.0356527,-0.00415161,-2.80806,0.217176,0.0135532,16.024,0
10,0,0,9.42643,0.0300962,-0.00338434,-2.50942,0.217006,0.0135007,16.0737,0
11,0,0,9.38925,0.0238479,-0.00264552,-2.22918,0.218513,0.0134696,16.2227,0
12,0,0,9.36142,0.0172807,-0.00208747,-1.97529,0.217319,0.0131631,16.5097,0
13,0,0,9.32224,0.0131932,-0.00189442,-1.56588,0.216741,0.012597,17.2057,0
14,0,0,9.30043,0.0153306,-0.00216171,-1.40369,0.215974,0.0124561,17.3388,0
15,0,0,9.2739,0.0180953,-0.00240361,-1.25478,0.215674,0.0124379,17.3401,0
16,0,0,9.24401,0.0192562,-0.00242522,-1.10677,0.215711,0.0125277,17.2187,0
17,0,0,9.2138,0.0194038,-0.00220227,-0.956299,0.215982,0.0127405,16.9524,0
18,0,0,9.18562,0.0180344,-0.00221781,-0.804862,0.216493,0.0129972,16.6568,0
19,0,0,9.16176,0.0150367,-0.00222681,-0.658553,0.216406,0.013137,16.473,0
20,0,0,9.14504,0.011534,-0.00207595,-0.523178,0.216318,0.0131933,16.3961,0
21,0,0,9.1331,0.00815246,-0.00179403,-0.400925,0.216251,0.0132072,16.3737,0
22,0,0,9.12538,0.0048336,-0.00151964,-0.294186,0.216207,0.013207,16.3707,0
23,0,0,9.12042,0.00192581,-0.0013225,-0.201717,0.216177,0.0131986,16.3788,0
0,1,0,10.0086,0.000613826,0.00152666,-4.62454,0.224521,0.0111986,20.049,0
1,1,0,9.97376,0.0823937,0.00109168,-4.59737,0.218235,0.0110563,19.7385,0
2,1,0,9.92167,0.098342,0.000956414,-4.52366,0.215781,0.0111374,19.3745,0
3,1,0,9.85712,0.113867,0.00146041,-4.40156,0.215481,0.011555,18.6483,0
4,1,0,9.77948,0.128945,0.000611632,-4.23023,0.215598,0.0120931,17.8281,0
5,1,0,9.69974,0.134214,-0.00065584,-4.00807,0.21581,0.0125072,17.2548,0
6,1,0,9.62435,0.132475,-0.00130435,-3.74257,0.216209,0.012897,16.7643,0
7,1,0,9.55254,0.128094,-0.00260934,-3.44726,0.216551,0.0132423,16.353,0
8,1,0,9.48868,0.116777,-0.00356649,-3.13246,0.216792,0.0134378,16.133,0
9,1,0,9.43727,0.100077,-0.00368008,-2.81145,0.217147,0.0134918,16.0947,0
10,1,0,9.3973,0.0799856,-0.00349806,-2.49894,0.217093,0.0133676,16.2403,0
11,1,0,9.37021,0.0565346,-0.00322515,-2.20766,0.21851,0.0131245,16.6491,0
12,1,0,9.35532,0.0335917,-0.00199742,-1.9482,0.217089,0.0124699,17.4091,0
13,1,0,9.34057,0.0308534,-0.00146009,-1.54965,0.215439,0.0111727,19.2826,0
14,1,0,9.32325,0.0440045,-0.00140978,-1.39882,0.214378,0.010959,19.5617,0
15,1,0,9.29537,0.0573079,-0.00124309,-1.25989,0.21401,0.0109378,19.5661,0
16,1,0,9.26022,0.0635194,-0.00199012,-1.11539,0.214175,0.0110854,19.3204,0
17,1,0,9.22503,0.0643189,-0.00189588,-0.962126,0.215006,0.0115324,18.6437,0
18,1,0,9.19096,0.0575711,-0.00232124,-0.803328,0.215763,0.0120645,17.8841,0
19,1,0,9.16528,0.0453039,-0.0024241,-0.64918,0.215813,0.0123599,17.4608,0
20,1,0,9.14981,0.0331144,-0.00224483,-0.508361,0.215752,0.0124779,17.2907,0
21,1,0,9.13986,0.0224213,-0.00224056,-0.382934,0.215681,0.0125105,17.24,0
22,1,0,9.13471,0.0131419,-0.00224741,-0.275213,0.215622,0.0125128,17.2321,0
23,1,0,9.13235,0.00557434,-0.00220543,-0.185482,0.21557,0.0124991,17.2468,0
0,2,0,9.99774,-0.0149642,-0.00231769,-4.72371,0.220422,0.00847014,26.0234,0
1,2,0,9.9739,0.131402,-0.000480312,-4.70377,0.212604,0.00825928,25.7413,0
2,2,0,9.93674,0.157165,-0.00226775,-4.63727,0.209907,0.00828371,25.3397,0
3,2,0,9.87878,0.178358,0.00056745,-4.52506,0.211982,0.00912726,23.2251,0
4,2,0,9.78428,0.215423,-0.000841861,-4.34777,0.212795,0.0101868,20.8893,0
5,2,0,9.6961,0.224403,-0.00243921,-4.11211,0.213539,0.0109027,19.5859,0
6,2,0,9.61615,0.220504,-0.0017095,-3.82432,0.214985,0.0117924,18.2307,0
7,2,0,9.5314,0.216878,-0.00448554,-3.50338,0.215903,0.0127002,16.9999,0
8,2,0,9.45717,0.19639,-0.00729315,-3.15916,0.216297,0.0131981,16.3885,0
9,2,0,9.40142,0.164472,-0.00958902,-2.80769,0.216552,0.0132953,16.2878,0
10,2,0,9.36397,0.125496,-0.010836,-2.46608,0.216523,0.0129947,16.6624,0
11,2,0,9.34034,0.0824851,-0.0108394,-2.14749,0.217736,0.0123164,17.6786,0
12,2,0,9.33997,0.0358791,-0.00972412,-1.86956,0.215741,0.0110119,19.5916,0
13,2,0,9.35807,0.0215246,-0.00477007,-1.50803,0.21017,0.00832503,25.2455,0
14,2,0,9.34491,0.0658571,-0.0021327,-1.38721,0.20955,0.00819088,25.5834,0
15,2,0,9.31003,0.116233,-0.0047336,-1.2711,0.209192,0.00817532,25.5882,0
16,2,0,9.26572,0.12213,-0.00478504,-1.14043,0.207777,0.0082164,25.2881,0
17,2,0,9.22126,0.115059,-0.00330424,-0.982534,0.210788,0.00907257,23.2336,0
18,2,0,9.17103,0.106875,-0.00500894,-0.801035,0.212552,0.0101009,21.0429,0
19,2,0,9.14451,0.0790253,-0.00479053,-0.628595,0.213284,0.0105912,20.1378,0
20,2,0,9.13063,0.0555589,-0.00416141,-0.476504,0.213459,0.0107749,19.8108,0
21,2,0,9.12178,0.0365846,-0.00452819,-0.344031,0.213451,0.010827,19.7147,0
22,2,0,9.11909,0.0202592,-0.00455219,-0.233142,0.213361,0.0108312,19.6987,0
23,2,0,9.1219,0.00357759,-0.00286504,-0.147576,0.212906,0.0107955,19.7218,0
0,3,0,10.1096,-0.0885635,0.00434599,-4.79982,0.238861,0.116178,2.05598,0
1,3,0,9.8898,0.171378,0.0091409,-4.83432,0.238189,0.107936,2.20675,0
2,3,0,9.88186,0.227288,0.00112079,-4.793,0.238202,0.107211,2.2218,0
3,3,0,9.83534,0.226718,-0.0159004,-4.75963,0.238129,0.107773,2.20954,0
4,3,0,9.70289,0.372359,-0.00344035,-4.51682,0.211463,0.0076607,27.6036,0
5,3,0,9.64555,0.353056,-0.00460965,-4.26534,0.209083,0.0081545,25.6402,0
6,3,0,9.56839,0.3248,0.000477374,-3.94595,0.213748,0.00985819,21.6823,0
7,3,0,9.45708,0.334781,-0.00587255,-3.58072,0.215583,0.0118634,18.1721,0
8,3,0,9.37028,0.298587,-0.0113962,-3.18663,0.216098,0.0128419,16.8276,0
9,3,0,9.30908,0.244521,-0.0147703,-2.78373,0.216065,0.0129811,16.6445,0
10,3,0,9.26716,0.188694,-0.0175465,-2.3905,0.215582,0.012362,17.4392,0
11,3,0,9.24489,0.106953,-0.0174364,-2.01544,0.216008,0.0110242,19.594,0
12,3,0,9.3096,-0.112581,-0.00893968,-1.47778,0.208732,0.00677799,30.7956,0
13,3,0,9.3335,0.0876523,0.0145305,-1.41715,0.236507,0.0863863,2.73778,0
14,3,0,9.33201,0.108705,0.00370416,-1.37454,0.23772,0.0967161,2.45792,0
15,3,0,9.30463,0.168196,-0.00401997,-1.33958,0.238059,0.101944,2.33519,0
16,3,0,9.16474,0.199935,-0.0235575,-1.16975,0.238494,0.107895,2.21042,0
17,3,0,9.06635,0.305495,-0.00901706,-1.02479,0.209524,0.00667643,31.3827,0
18,3,0,9.03996,0.198579,-0.0101149,-0.797996,0.207893,0.00746331,27.8553,0
19,3,0,9.0262,0.115828,-0.0103391,-0.59212,0.20768,0.00778104,26.6905,0
20,3,0,9.03579,0.0689454,-0.00988951,-0.41946,0.208469,0.00792619,26.3013,0
21,3,0,9.03839,0.0360496,-0.0092067,-0.274808,0.20861,0.00796528,26.1899,0
22,3,0,9.03841,0.0134181,-0.00841242,-0.155768,0.207407,0.00792502,26.1712,0
23,3,0,9.05125,0.00368369,-0.00689703,-0.0614153,0.205861,0.00785855,26.1958,0
0,4,0,10.0057,-0.0348104,0.0023198,-5.09919,0.238947,0.121687,1.96362,0
1,4,0,9.95938,0.218113,0.000889842,-5.06383,0.238281,0.105472,2.2592,0
2,4,0,9.91264,0.307637,-0.00944205,-5.08078,0.238472,0.113043,2.10956,0
3,4,0,9.89739,0.393923,-0.0118678,-4.96562,0.238448,0.110013,2.16747,0
4,4,0,9.80373,0.441436,-0.0158403,-4.78456,0.238796,0.112737,2.11817,0
5,4,0,9.72585,0.468508,-0.00663998,-4.49476,0.23861,0.114068,2.09183,0
6,4,0,9.46667,0.52344,-0.00170797,-4.06437,0.217087,0.00861085,25.2109,0
7,4,0,9.35339,0.509071,-0.00820316,-3.64715,0.216887,0.0112673,19.2493,0
8,4,0,9.25195,0.441436,-0.0155409,-3.18047,0.216483,0.0125367,17.2679,0
9,4,0,9.18025,0.355962,-0.0197942,-2.70367,0.216079,0.012645,17.0881,0
10,4,0,9.12703,0.283072,-0.0225355,-2.23048,0.214939,0.0116129,18.5086,0
11,4,0,9.08021,0.141976,-0.0242006,-1.75618,0.214172,0.00942698,22.7191,0
12,4,0,8.90366,-0.508835,0.10609,-0.46024,0.245414,0.0278865,3.59124,0
13,4,0,9.44314,-0.164902,0.0373571,-1.08769,0.239483,0.0945641,2.53249,0
14,4,0,9.42681,0.162482,0.0252716,-1.41175,0.238686,0.119733,1.99348,0
15,4,0,9.38347,0.331002,0.00809346,-1.62213,0.238647,0.120304,1.9837,0
16,4,0,9.32926,0.43806,0.00187473,-1.68335,0.238642,0.118766,2.00935,0
17,4,0,9.00321,0.29207,-0.0364093,-1.13378,0.239445,0.114315,2.09461,0
18,4,0,8.98747,0.253388,-0.0363607,-0.920242,0.238632,0.106789,2.23462,0
19,4,0,8.98453,0.145584,-0.0215335,-0.603231,0.23796,0.097639,2.43714,0
20,4,0,8.99696,0.0915618,-0.0182165,-0.372122,0.237665,0.0888774,2.67408,0
21,4,0,8.98995,0.0693619,-0.0108011,-0.194655,0.237526,0.0851622,2.78911,0
22,4,0,8.97534,0.050927,-0.00295111,-0.0613312,0.23757,0.0880922,2.69683,0
23,4,0,8.9261,-0.0568965,0.0103891,0.0856248,0.237969,0.103777,2.29309,0
0,5,0,10.0203,0.0574285,0.0288307,-5.23393,0.23972,0.105767,2.2665,0
1,5,0,9.98338,0.237696,0.0464262,-5.32737,0.239634,0.0890545,2.69087,0
2,5,0,10.0177,0.432696,0.00338719,-5.52293,0.240089,0.0645551,2.18625,0
3,5,0,9.92961,0.494358,0.00139974,-5.30134,0.239099,0.0967092,2.47236,0
4,5,0,9.89778,0.702093,-0.00945432,-5.24096,0.239788,0.0949529,2.44247,0
5,5,0,9.63916,0.705043,-0.0348024,-4.78825,0.239413,0.118179,2.02586,0
6,5,0,9.45775,0.787752,-0.0143958,-4.19606,0.217376,0.00835121,26.0293,0
7,5,0,9.29447,0.715926,-0.0193062,-3.67734,0.217062,0.0109887,19.7532,0
8,5,0,9.16156,0.603061,-0.025894,-3.1085,0.216506,0.0123315,17.5572,0
9,5,0,9.06397,0.484808,-0.0292058,-2.53799,0.215836,0.012379,17.4357,0
10,5,0,8.98431,0.384095,-0.0362384,-1.95517,0.214492,0.0110875,19.3453,0
11,5,0,8.83872,0.077009,0.0544488,-0.73599,0.239278,0.0672105,3.02832,0
12,5,0,7.90555,-0.746684,0.257315,0.84445,0.247209,0.0188595,4.29514,0
13,5,0,10.2264,-0.199893,-0.139252,-0.109753,0.246581,0.00477417,4.12268,0
14,5,0,9.5937,0.480599,-0.0106532,-2.82763,0.246153,0.0289899,2.80146,0
15,5,0,9.36805,0.267077,0.119408,-3.32527,0.245572,0.034667,3.23829,0
16,5,0,10.0786,1.58826,0.0157087,-4.20452,0.245266,0.00603206,3.05471,0
