x,y,z,u,v,w,p,k,nut,omega,bm
0,0,0,9.99997,-0.00274829,0.00111424,5.02552,0.227042,0.0141921,15.9977,0
1,0,0,10.0057,-0.019672,0.00526007,5.01965,0.221586,0.0138507,15.9982,0
2,0,0,10.0175,-0.0225044,0.0063841,5.00065,0.219349,0.0137083,16.0011,0
3,0,0,10.0296,-0.0262059,0.00780082,4.97064,0.218443,0.0136366,16.0189,0
4,0,0,10.0417,-0.0308431,0.00969429,4.9298,0.218075,0.0135404,16.1055,0
5,0,0,10.0513,-0.0364452,0.0127216,4.8804,0.217865,0.0132573,16.4336,0
6,0,0,10.0498,-0.0427073,0.0174179,4.83188,0.217494,0.0124798,17.4277,0
7,0,0,10.023,-0.0479624,0.023102,4.81177,0.216464,0.0108375,19.9737,0
8,0,0,9.89566,-0.0487016,0.032004,4.89848,0.213996,0.00822616,26.0141,0
9,0,0,8.43126,0.00337627,0.553575,7.39321,0.246974,0.0162228,4.95704,0
10,0,0,3.84125,-0.0653306,2.32058,14.048,0.256022,0.00393438,7.69653,0
11,0,0,12.2916,-0.0330149,-0.0720288,0.77256,0.241211,0.0348034,3.55524,0
12,0,0,12.5108,-0.0279571,-0.546157,-8.49864,0.242934,0.012282,2.30275,0
13,0,0,7.12472,-0.196888,-1.59041,-10.7712,0.27107,0.00237943,12.7986,0
14,0,0,10.1964,-0.0197704,-0.389432,-3.28925,0.246815,0.0293452,2.07599,0
15,0,0,10.6616,0.00891133,-0.453503,-2.46259,0.242606,0.115905,2.09314,0
16,0,0,10.507,0.0370898,-0.291949,-1.31732,0.218966,0.0109713,19.9581,0
17,0,0,10.4989,0.0358992,-0.31195,-1.09854,0.221672,0.0126944,17.4622,0
18,0,0,10.3945,0.0540831,-0.380629,-0.926583,0.220039,0.0133471,16.486,0
19,0,0,10.4085,0.062961,-0.319447,-0.914411,0.219108,0.0135687,16.148,0
20,0,0,10.3413,0.0623393,-0.27527,-0.819006,0.218609,0.0136278,16.0414,0
21,0,0,10.2806,0.0571079,-0.239031,-0.653848,0.21844,0.0136449,16.0089,0
